,sub,condition,hit,fa,dprime,response_type,probe_hit,probe_fa,probe_dprime,duration,property,Dist,RE
112,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_10,,,,probe,0.984375,0.056,3.743,167.0,Dist_Small_RE_Small,Small,Small
113,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Large_2,,,,probe,0.75,0.015625,2.828,50.0,Dist_Small_RE_Large,Small,Large
114,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Small_RE_Small_2,,,,probe,0.571,0.015625,2.333,50.0,Dist_Small_RE_Small,Small,Small
115,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_2,,,,probe,0.417,0.015625,1.944,50.0,Dist_Large_RE_Large,Large,Large
116,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Small_10,,,,probe,0.333,0.015625,1.722,167.0,Dist_Large_RE_Small,Large,Small
117,a809a141-4862-4ef9-9206-d64dc894c78f,Dist_Large_RE_Large_5,,,,probe,0.091,0.015625,0.819,84.0,Dist_Large_RE_Large,Large,Large
118,c89203fd-8e26-4753-9bea-d04e3141df7e,,0.02631578947368421,0.02631578947368421,0.0,image,,,,,,,
119,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_10,0.688,0.375,0.809,image,,,,167.0,Dist_Small_RE_Large,Small,Large
120,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_10,0.812,0.375,1.204,image,,,,167.0,Dist_Large_RE_Small,Large,Small
121,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_10,0.688,0.375,0.809,image,,,,167.0,Dist_Small_RE_Small,Small,Small
122,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_2,0.5,0.188,0.885,image,,,,50.0,Dist_Large_RE_Small,Large,Small
123,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_5,0.938,0.25,2.213,image,,,,84.0,Dist_Large_RE_Small,Large,Small
124,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_10,0.938,0.125,2.689,image,,,,167.0,Dist_Large_RE_Large,Large,Large
125,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_5,0.312,0.188,0.395,image,,,,84.0,Dist_Small_RE_Large,Small,Large
126,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_2,0.375,0.125,0.832,image,,,,50.0,Dist_Large_RE_Large,Large,Large
127,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_2,0.5,0.062,1.538,image,,,,50.0,Dist_Small_RE_Large,Small,Large
128,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_5,0.875,0.375,1.469,image,,,,84.0,Dist_Large_RE_Large,Large,Large
129,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_2,0.375,0.438,-0.163,image,,,,50.0,Dist_Small_RE_Small,Small,Small
130,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_5,0.5,0.188,0.885,image,,,,84.0,Dist_Small_RE_Small,Small,Small
131,c89203fd-8e26-4753-9bea-d04e3141df7e,,,,,probe,0.025,0.025,0.0,,,,
132,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_10,,,,probe,0.984375,0.1,3.435,167.0,Dist_Small_RE_Large,Small,Large
133,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_10,,,,probe,0.4,0.136,0.845,167.0,Dist_Large_RE_Small,Large,Small
134,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_10,,,,probe,0.917,0.05,3.03,167.0,Dist_Small_RE_Small,Small,Small
135,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_2,,,,probe,0.467,0.118,1.102,50.0,Dist_Large_RE_Small,Large,Small
136,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Small_5,,,,probe,0.357,0.056,1.223,84.0,Dist_Large_RE_Small,Large,Small
137,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_10,,,,probe,0.643,0.015625,2.52,167.0,Dist_Large_RE_Large,Large,Large
138,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_5,,,,probe,0.545,0.048,1.778,84.0,Dist_Small_RE_Large,Small,Large
139,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_2,,,,probe,0.154,0.053,0.597,50.0,Dist_Large_RE_Large,Large,Large
140,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Large_2,,,,probe,0.727,0.048,2.268,50.0,Dist_Small_RE_Large,Small,Large
141,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Large_RE_Large_5,,,,probe,0.5,0.091,1.335,84.0,Dist_Large_RE_Large,Large,Large
142,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_2,,,,probe,0.286,0.222,0.2,50.0,Dist_Small_RE_Small,Small,Small
143,c89203fd-8e26-4753-9bea-d04e3141df7e,Dist_Small_RE_Small_5,,,,probe,0.857,0.056,2.656,84.0,Dist_Small_RE_Small,Small,Small
144,f6e87870-50ab-4b9c-b96b-e716fb583ae4,,0.025,0.025,0.0,image,,,,,,,
145,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_10,0.812,0.125,2.036,image,,,,167.0,Dist_Large_RE_Small,Large,Small
146,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_5,0.562,0.125,1.306,image,,,,84.0,Dist_Large_RE_Small,Large,Small
147,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_10,0.562,0.062,1.694,image,,,,167.0,Dist_Small_RE_Large,Small,Large
148,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_10,0.312,0.125,0.66,image,,,,167.0,Dist_Small_RE_Small,Small,Small
149,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_2,0.625,0.125,1.469,image,,,,50.0,Dist_Large_RE_Small,Large,Small
150,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_10,0.938,0.188,2.423,image,,,,167.0,Dist_Large_RE_Large,Large,Large
151,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_5,0.188,0.188,0.0,image,,,,84.0,Dist_Small_RE_Small,Small,Small
152,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_5,0.312,0.015625,1.664,image,,,,84.0,Dist_Small_RE_Large,Small,Large
153,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_5,0.625,0.015625,2.473,image,,,,84.0,Dist_Large_RE_Large,Large,Large
154,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_2,0.375,0.015625,1.835,image,,,,50.0,Dist_Small_RE_Large,Small,Large
155,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_2,0.25,0.015625,1.479,image,,,,50.0,Dist_Small_RE_Small,Small,Small
156,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_2,0.25,0.062,0.864,image,,,,50.0,Dist_Large_RE_Large,Large,Large
157,f6e87870-50ab-4b9c-b96b-e716fb583ae4,,,,,probe,0.025,0.025,0.0,,,,
158,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_10,,,,probe,0.4,0.118,0.932,167.0,Dist_Large_RE_Small,Large,Small
159,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_5,,,,probe,0.417,0.1,1.072,84.0,Dist_Large_RE_Small,Large,Small
160,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_10,,,,probe,0.923,0.053,3.042,167.0,Dist_Small_RE_Large,Small,Large
161,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_10,,,,probe,0.984375,0.05,3.799,167.0,Dist_Small_RE_Small,Small,Small
162,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Small_2,,,,probe,0.417,0.05,1.435,50.0,Dist_Large_RE_Small,Large,Small
163,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_10,,,,probe,0.692,0.053,2.118,167.0,Dist_Large_RE_Large,Large,Large
164,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_5,,,,probe,0.857,0.015625,3.221,84.0,Dist_Small_RE_Small,Small,Small
165,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_5,,,,probe,0.857,0.056,2.656,84.0,Dist_Small_RE_Large,Small,Large
166,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_5,,,,probe,0.786,0.015625,2.946,84.0,Dist_Large_RE_Large,Large,Large
167,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Large_2,,,,probe,0.583,0.015625,2.363,50.0,Dist_Small_RE_Large,Small,Large
168,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Small_RE_Small_2,,,,probe,0.429,0.111,1.042,50.0,Dist_Small_RE_Small,Small,Small
169,f6e87870-50ab-4b9c-b96b-e716fb583ae4,Dist_Large_RE_Large_2,,,,probe,0.083,0.015625,0.769,50.0,Dist_Large_RE_Large,Large,Large
170,f8655bf3-bf42-497a-9702-1b335456b7de,,0.03125,0.03125,0.0,image,,,,,,,
171,f8655bf3-bf42-497a-9702-1b335456b7de,Dist_Large_RE_Large_5,0.75,0.25,1.349,image,,,,84.0,Dist_Large_RE_Large,Large,Large
172,f8655bf3-bf42-497a-9702-1b335456b7de,,,,,probe,0.025,0.025,0.0,,,,
173,f8655bf3-bf42-497a-9702-1b335456b7de,Dist_Large_RE_Large_5,,,,probe,0.727,0.619,0.301,84.0,Dist_Large_RE_Large,Large,Large
174,fee306a7-c87d-4874-98a7-c3b90159186d,,0.025,0.025,0.0,image,,,,,,,
175,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_5,0.75,0.188,1.56,image,,,,84.0,Dist_Large_RE_Small,Large,Small
176,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_2,0.562,0.25,0.831,image,,,,50.0,Dist_Large_RE_Small,Large,Small
177,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_2,0.688,0.312,0.98,image,,,,50.0,Dist_Large_RE_Large,Large,Large
178,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_5,0.875,0.312,1.641,image,,,,84.0,Dist_Small_RE_Large,Small,Large
179,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_5,0.812,0.125,2.036,image,,,,84.0,Dist_Large_RE_Large,Large,Large
180,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_2,0.25,0.188,0.211,image,,,,50.0,Dist_Small_RE_Large,Small,Large
181,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_5,0.75,0.375,0.993,image,,,,84.0,Dist_Small_RE_Small,Small,Small
182,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_10,0.938,0.5,1.538,image,,,,167.0,Dist_Small_RE_Small,Small,Small
183,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_10,0.812,0.375,1.204,image,,,,167.0,Dist_Small_RE_Large,Small,Large
184,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_10,0.984375,0.25,2.828,image,,,,167.0,Dist_Large_RE_Large,Large,Large
185,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_2,0.688,0.312,0.98,image,,,,50.0,Dist_Small_RE_Small,Small,Small
186,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_10,0.984375,0.562,1.998,image,,,,167.0,Dist_Large_RE_Small,Large,Small
187,fee306a7-c87d-4874-98a7-c3b90159186d,,,,,probe,0.025,0.025,0.0,,,,
188,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_5,,,,probe,0.625,0.167,1.285,84.0,Dist_Large_RE_Small,Large,Small
189,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_2,,,,probe,0.2,0.091,0.493,50.0,Dist_Large_RE_Small,Large,Small
190,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_2,,,,probe,0.75,0.15,1.711,50.0,Dist_Large_RE_Large,Large,Large
191,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_5,,,,probe,0.984375,0.35,2.539,84.0,Dist_Small_RE_Large,Small,Large
192,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_5,,,,probe,0.984375,0.316,2.633,84.0,Dist_Large_RE_Large,Large,Large
193,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_2,,,,probe,0.4,0.045,1.442,50.0,Dist_Small_RE_Large,Small,Large
194,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_5,,,,probe,0.984375,0.333,2.586,84.0,Dist_Small_RE_Small,Small,Small
195,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_10,,,,probe,0.984375,0.1,3.435,167.0,Dist_Small_RE_Small,Small,Small
196,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Large_10,,,,probe,0.923,0.105,2.679,167.0,Dist_Small_RE_Large,Small,Large
197,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Large_10,,,,probe,0.769,0.105,1.989,167.0,Dist_Large_RE_Large,Large,Large
198,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Small_RE_Small_2,,,,probe,0.8,0.136,1.94,50.0,Dist_Small_RE_Small,Small,Small
199,fee306a7-c87d-4874-98a7-c3b90159186d,Dist_Large_RE_Small_10,,,,probe,0.984375,0.048,3.818,167.0,Dist_Large_RE_Small,Large,Small
200,ff45176d-3bc5-4211-b8a9-e0100345b439,,0.025,0.025,0.0,image,,,,,,,
201,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_2,0.25,0.438,-0.518,image,,,,50.0,Dist_Large_RE_Large,Large,Large
202,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_10,0.688,0.125,1.641,image,,,,167.0,Dist_Small_RE_Small,Small,Small
203,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_5,0.438,0.188,0.729,image,,,,84.0,Dist_Small_RE_Large,Small,Large
204,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_2,0.5,0.062,1.538,image,,,,50.0,Dist_Small_RE_Small,Small,Small
205,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_5,0.75,0.25,1.349,image,,,,84.0,Dist_Large_RE_Small,Large,Small
206,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_2,0.5,0.125,1.15,image,,,,50.0,Dist_Small_RE_Large,Small,Large
207,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_2,0.562,0.062,1.694,image,,,,50.0,Dist_Large_RE_Small,Large,Small
208,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_10,0.812,0.25,1.56,image,,,,167.0,Dist_Large_RE_Small,Large,Small
209,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_5,0.25,0.312,-0.184,image,,,,84.0,Dist_Small_RE_Small,Small,Small
210,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_10,0.812,0.015625,3.039,image,,,,167.0,Dist_Large_RE_Large,Large,Large
211,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_10,0.562,0.25,0.831,image,,,,167.0,Dist_Small_RE_Large,Small,Large
212,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_5,0.625,0.062,1.857,image,,,,84.0,Dist_Large_RE_Large,Large,Large
213,ff45176d-3bc5-4211-b8a9-e0100345b439,,,,,probe,0.02631578947368421,0.02631578947368421,0.0,,,,
214,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_2,,,,probe,0.273,0.048,1.061,50.0,Dist_Large_RE_Large,Large,Large
215,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_10,,,,probe,0.875,0.015625,3.304,167.0,Dist_Small_RE_Small,Small,Small
216,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_5,,,,probe,0.9,0.091,2.616,84.0,Dist_Small_RE_Large,Small,Large
217,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_2,,,,probe,0.727,0.238,1.317,50.0,Dist_Small_RE_Small,Small,Small
218,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_5,,,,probe,0.538,0.105,1.349,84.0,Dist_Large_RE_Small,Large,Small
219,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_2,,,,probe,0.636,0.015625,2.502,50.0,Dist_Small_RE_Large,Small,Large
220,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_2,,,,probe,0.231,0.015625,1.418,50.0,Dist_Large_RE_Small,Large,Small
221,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Small_10,,,,probe,0.636,0.015625,2.502,167.0,Dist_Large_RE_Small,Large,Small
222,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Small_5,,,,probe,0.846,0.015625,3.173,84.0,Dist_Small_RE_Small,Small,Small
223,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_10,,,,probe,0.571,0.015625,2.333,167.0,Dist_Large_RE_Large,Large,Large
224,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Small_RE_Large_10,,,,probe,0.917,0.015625,3.539,167.0,Dist_Small_RE_Large,Small,Large
225,ff45176d-3bc5-4211-b8a9-e0100345b439,Dist_Large_RE_Large_5,,,,probe,0.636,0.015625,2.502,84.0,Dist_Large_RE_Large,Large,Large
